"W", "L"
9, 0
6, 1
14, 6
2, 3
4, 2
7, 3
5, 3
9, 2
8, 1
1, 6
6, 2
0, 2
5, 0
2, 1
3, 5
16, 0
8, 1
5, 13
9, 0
4, 3
7, 2
6, 1
3, 4
7, 2
7, 1
6, 2
5, 2
8, 6
8, 5
4, 3
8, 7
4, 7
0, 1
9, 4
8, 2
1, 2
2, 4
2, 1
3, 5
8, 1
3, 5
0, 1
3, 4
12, 3
9, 8
6, 2
4, 1
7, 2
2, 0
0, 5
2, 1
7, 2
6, 0
5, 3
2, 3
6, 4
2, 3
8, 1
1, 5
8, 2
13, 2
1, 4
4, 3
4, 5
6, 0
4, 3
10, 5
2, 3
3, 4
2, 7
2, 4
5, 4
6, 9
1, 6
11, 8
7, 2
9, 2
3, 4
2, 10
3, 4
3, 14
10, 4
5, 9
3, 5
3, 4
4, 8
6, 12
6, 5
6, 0
3, 1
1, 4
5, 1
1, 2
6, 2
5, 2
1, 6
6, 5
4, 5
0, 3
8, 1
3, 1
12, 1
1, 4
7, 6
5, 0
3, 2
5, 4
7, 2
4, 0
3, 1
5, 1
3, 1
4, 3
13, 2
