"W", "L"
1, 4
5, 6
1, 5
7, 4
12, 2
12, 7
10, 1
4, 6
7, 0
14, 3
8, 9
4, 3
0, 5
1, 2
5, 3
1, 4
11, 2
8, 5
7, 12
8, 2
11, 4
0, 3
4, 5
1, 6
1, 6
10, 3
0, 1
5, 4
4, 0
2, 4
6, 4
5, 10
8, 1
5, 2
12, 10
4, 8
3, 5
5, 2
1, 3
2, 0
13, 7
7, 11
6, 2
2, 7
4, 3
3, 12
8, 9
1, 2
6, 2
9, 4
2, 10
6, 0
10, 3
1, 3
1, 5
7, 4
6, 3
6, 7
12, 7
3, 2
9, 3
5, 1
8, 3
2, 5
1, 4
0, 1
3, 4
4, 5
3, 2
4, 3
7, 2
3, 4
4, 5
11, 6
2, 6
8, 4
2, 3
2, 4
7, 1
3, 0
9, 8
2, 4
2, 5
5, 7
5, 1
3, 4
8, 1
5, 1
6, 7
5, 0
3, 6
10, 2
4, 2
3, 2
6, 5
4, 3
2, 7
6, 9
3, 2
1, 3
5, 4
5, 4
11, 6
0, 11
4, 5
5, 7
5, 4
0, 7
1, 0
5, 13
3, 6
5, 4
4, 7
3, 2
3, 4
2, 13
